INSTRUMENT,TIMEFRAME,POSSIBLE_BUY_TRADES,POSSIBLE_SELL_TRADES,TOTAL_BUY_TRADES,TOTAL_SELL_TRADES,PROFITABLE_BUY_TRADES,PROFITABLE_SELL_TRADES,TOTAL_PROFIT,AVG_PROFIT,PERC_PROFITABLE,PERC_TRADES_TAKEN,SHARPE_RATIO,DRAWDOWN,MAX_DRAWDOWN,CCI,CCII,ADX_SIMPLE,ADX_LOOKBACK,RSI_RANGE,CLOSE_ON_CONFLICT,TRAILING_STOP,1ATR_STOP,FIB_TP
USDCHF,1440,1,2,1,2,1,2,4690.0415,1563.35,1.0,1.0,0.34731624896173463,0.0,1.833807448193033,True,False,False,False,False,False,True,False,1.0
USDCHF,1440,1,2,1,2,1,2,4690.0415,1563.35,1.0,1.0,0.34731624896173463,0.0,1.833807448193033,True,False,False,True,False,False,True,False,1.0
USDCHF,1440,1,2,1,2,1,2,4690.0415,1563.35,1.0,1.0,0.34731624896173463,0.0,1.833807448193033,True,False,False,False,False,True,True,False,1.0
USDCHF,1440,1,2,1,2,1,2,4690.0415,1563.35,1.0,1.0,0.34731624896173463,0.0,1.833807448193033,True,False,True,False,False,True,True,False,1.0
USDCHF,1440,1,2,1,2,1,2,4690.0415,1563.35,1.0,1.0,0.34731624896173463,0.0,1.833807448193033,True,False,True,False,False,False,True,False,1.0
USDCHF,1440,1,2,1,2,1,2,4690.0415,1563.35,1.0,1.0,0.34731624896173463,0.0,1.833807448193033,True,False,True,True,False,False,True,False,1.0
USDCHF,1440,1,2,1,2,1,2,4690.0415,1563.35,1.0,1.0,0.34731624896173463,0.0,1.833807448193033,True,False,True,True,False,True,True,False,1.0
USDCHF,1440,1,2,1,2,1,2,4690.0415,1563.35,1.0,1.0,0.34731624896173463,0.0,1.833807448193033,True,False,False,True,False,True,True,False,1.0
USDCHF,1440,1,2,1,1,1,1,4535.998000000001,2268.0,1.0,0.67,0.34524698329293735,0.0,1.7098422855654454,True,False,False,False,True,False,True,False,1.0
USDCHF,1440,1,2,1,1,1,1,4535.998000000001,2268.0,1.0,0.67,0.34524698329293735,0.0,1.7098422855654454,True,False,False,False,True,True,True,False,1.0
USDCHF,1440,1,2,1,1,1,1,4535.998000000001,2268.0,1.0,0.67,0.34524698329293735,0.0,1.7098422855654454,True,False,True,True,True,True,True,False,1.0
