INSTRUMENT,TIMEFRAME,POSSIBLE_BUY_TRADES,POSSIBLE_SELL_TRADES,TOTAL_BUY_TRADES,TOTAL_SELL_TRADES,PROFITABLE_BUY_TRADES,PROFITABLE_SELL_TRADES,TOTAL_PROFIT,AVG_PROFIT,PERC_PROFITABLE,PERC_TRADES_TAKEN,SHARPE_RATIO,DRAWDOWN,MAX_DRAWDOWN,CCI,CCII,ADX_SIMPLE,ADX_LOOKBACK,RSI_RANGE,CLOSE_ON_CONFLICT,TRAILING_STOP,1ATR_STOP,FIB_TP
GBPUSD,60,220,108,103,59,48,36,4112.729400000021,25.39,0.52,0.49,0.4041185648236552,10.309679694838438,22.234824069687946,False,False,False,False,True,False,False,True,1.0
GBPUSD,60,220,108,97,60,45,38,3512.0437000000325,22.37,0.53,0.48,0.35387387452972363,15.952678181749029,24.136238096686235,False,False,True,False,True,False,False,True,1.0
GBPUSD,60,220,108,97,60,45,38,3512.0437000000325,22.37,0.53,0.48,0.35387387452972363,15.952678181749029,24.136238096686235,False,False,True,True,True,False,False,True,1.0
GBPUSD,60,220,108,97,60,45,38,3512.0437000000325,22.37,0.53,0.48,0.35387387452972363,15.952678181749029,24.136238096686235,False,False,False,True,True,False,False,True,1.0
GBPUSD,60,220,108,214,128,79,40,2217.0845000001727,6.48,0.35,1.04,0.21564698052339834,11.41812346121055,21.39429229522937,False,False,False,False,False,False,True,True,1.0
GBPUSD,60,220,108,106,57,43,28,1445.4777000001804,8.87,0.44,0.5,0.12638873680424192,27.68773601593097,31.798373035420667,False,False,False,False,True,False,False,False,1.0
GBPUSD,60,8,37,4,20,1,12,1352.8880999999556,56.37,0.54,0.53,0.15559752969280607,5.334250354110025,10.314030023151584,False,True,True,True,True,False,False,False,1.0
GBPUSD,60,8,37,4,20,1,12,1352.8880999999556,56.37,0.54,0.53,0.15559752969280607,5.334250354110025,10.314030023151584,False,True,False,True,True,False,False,False,1.0
GBPUSD,60,8,37,4,20,1,12,1352.8880999999556,56.37,0.54,0.53,0.15559752969280607,5.334250354110025,10.314030023151584,False,True,False,True,True,True,False,False,1.0
GBPUSD,60,8,37,4,20,1,12,1352.8880999999556,56.37,0.54,0.53,0.15559752969280607,5.334250354110025,10.314030023151584,False,True,True,False,True,False,False,False,1.0
GBPUSD,60,8,37,4,20,1,12,1352.8880999999556,56.37,0.54,0.53,0.15559752969280607,5.334250354110025,10.314030023151584,False,True,True,False,True,True,False,False,1.0
GBPUSD,60,8,37,4,20,1,12,1352.8880999999556,56.37,0.54,0.53,0.15559752969280607,5.334250354110025,10.314030023151584,False,True,True,True,True,True,False,False,1.0
GBPUSD,60,220,108,110,78,46,31,1225.4900000000775,6.52,0.41,0.57,0.15865764421748776,8.631878965289175,16.356833189417237,False,False,True,False,True,False,True,True,1.0
GBPUSD,60,220,108,110,78,46,31,1225.4900000000775,6.52,0.41,0.57,0.15865764421748776,8.631878965289175,16.356833189417237,False,False,False,True,True,False,True,True,1.0
GBPUSD,60,220,108,110,78,46,31,1225.4900000000775,6.52,0.41,0.57,0.15865764421748776,8.631878965289175,16.356833189417237,False,False,True,True,True,False,True,True,1.0
GBPUSD,60,220,108,175,101,69,39,1133.0427000000275,4.11,0.39,0.84,0.10391448458804804,15.879330544997039,21.342519026362865,False,False,True,False,False,False,True,True,1.0
GBPUSD,60,220,108,175,101,69,39,1133.0427000000275,4.11,0.39,0.84,0.10391448458804804,15.879330544997039,21.342519026362865,False,False,False,True,False,False,True,True,1.0
GBPUSD,60,220,108,175,101,69,39,1133.0427000000275,4.11,0.39,0.84,0.10391448458804804,15.879330544997039,21.342519026362865,False,False,True,True,False,False,True,True,1.0
GBPUSD,60,8,37,4,21,1,12,1123.4049000000512,44.94,0.52,0.56,0.11851300854860324,5.334723908215047,12.126451628111669,False,True,False,False,True,False,False,False,1.0
