INSTRUMENT,TIMEFRAME,POSSIBLE_BUY_TRADES,POSSIBLE_SELL_TRADES,TOTAL_BUY_TRADES,TOTAL_SELL_TRADES,PROFITABLE_BUY_TRADES,PROFITABLE_SELL_TRADES,TOTAL_PROFIT,AVG_PROFIT,PERC_PROFITABLE,PERC_TRADES_TAKEN,SHARPE_RATIO,DRAWDOWN,MAX_DRAWDOWN,CCI,CCII,ADX_SIMPLE,ADX_LOOKBACK,RSI_RANGE,CLOSE_ON_CONFLICT,TRAILING_STOP,1ATR_STOP,FIB_TP
NZDUSD,60,252,87,185,64,68,30,9172.612599999984,36.84,0.39,0.73,0.5197034245683536,24.944931522601504,27.051065400224868,False,False,True,False,False,True,False,False,1.0
NZDUSD,60,252,87,185,64,68,30,9172.612599999984,36.84,0.39,0.73,0.5197034245683536,24.944931522601504,27.051065400224868,False,False,True,True,False,True,False,False,1.0
NZDUSD,60,252,87,185,64,68,30,9172.612599999984,36.84,0.39,0.73,0.5197034245683536,24.944931522601504,27.051065400224868,False,False,False,True,False,True,False,False,1.0
NZDUSD,60,252,87,187,64,67,31,8484.780900000105,33.8,0.39,0.74,0.5144803226988617,24.944732433053606,27.050534626674732,False,False,False,True,False,False,False,False,1.0
NZDUSD,60,252,87,187,64,67,31,8484.780900000105,33.8,0.39,0.74,0.5144803226988617,24.944732433053606,27.050534626674732,False,False,True,True,False,False,False,False,1.0
NZDUSD,60,252,87,187,64,67,31,8484.780900000105,33.8,0.39,0.74,0.5144803226988617,24.944732433053606,27.050534626674732,False,False,True,False,False,False,False,False,1.0
NZDUSD,60,133,80,108,65,41,28,6432.442900000125,37.18,0.4,0.81,0.5804908185423096,16.696694760807908,23.418685475628234,True,True,False,False,False,True,False,False,1.0
NZDUSD,60,133,80,109,65,40,28,5746.769300000101,33.03,0.39,0.82,0.5471506862026194,16.69693130966329,24.411525540328118,True,True,False,False,False,False,False,False,1.0
NZDUSD,60,252,87,200,72,70,31,5568.337200000163,20.47,0.37,0.8,0.38081567257092275,31.47728788711419,32.64566989761721,False,False,False,False,False,True,False,False,1.0
NZDUSD,60,133,80,98,57,38,27,5505.938799999966,35.52,0.42,0.73,0.4204861009282924,22.396423085878727,22.600870205055664,True,True,False,True,False,True,False,False,1.0
NZDUSD,60,133,80,98,57,38,27,5505.938799999966,35.52,0.42,0.73,0.4204861009282924,22.396423085878727,22.600870205055664,True,True,True,True,False,True,False,False,1.0
NZDUSD,60,133,80,98,57,38,27,5505.938799999966,35.52,0.42,0.73,0.4204861009282924,22.396423085878727,22.600870205055664,True,True,True,False,False,True,False,False,1.0
NZDUSD,60,252,87,203,71,69,32,5093.2179000000315,18.59,0.37,0.81,0.36869337983537126,31.477229721982688,32.64563199829123,False,False,False,False,False,False,False,False,1.0
NZDUSD,60,133,80,99,57,37,27,4858.709899999959,31.15,0.41,0.73,0.392443620096152,22.39622358119077,22.600679708379502,True,True,False,True,False,False,False,False,1.0
NZDUSD,60,133,80,99,57,37,27,4858.709899999959,31.15,0.41,0.73,0.392443620096152,22.39622358119077,22.600679708379502,True,True,True,True,False,False,False,False,1.0
NZDUSD,60,133,80,99,57,37,27,4858.709899999959,31.15,0.41,0.73,0.392443620096152,22.39622358119077,22.600679708379502,True,True,True,False,False,False,False,False,1.0
NZDUSD,60,7,62,6,47,3,24,4325.546500000065,81.61,0.51,0.77,0.518315487138626,5.886265318511751,13.487086348918265,False,True,False,True,False,True,False,False,1.0
NZDUSD,60,7,62,6,47,3,24,4325.546500000065,81.61,0.51,0.77,0.518315487138626,5.886265318511751,13.487086348918265,False,True,True,False,False,True,False,False,1.0
NZDUSD,60,7,62,6,47,3,24,4325.546500000065,81.61,0.51,0.77,0.518315487138626,5.886265318511751,13.487086348918265,False,True,True,True,False,True,False,False,1.0
NZDUSD,60,7,62,7,47,3,24,3908.1284000001797,72.37,0.5,0.78,0.503832041418096,5.886782872093891,13.487587564427718,False,True,False,True,False,False,False,False,1.0
NZDUSD,60,7,62,7,47,3,24,3908.1284000001797,72.37,0.5,0.78,0.503832041418096,5.886782872093891,13.487587564427718,False,True,True,False,False,False,False,False,1.0
NZDUSD,60,7,62,7,47,3,24,3908.1284000001797,72.37,0.5,0.78,0.503832041418096,5.886782872093891,13.487587564427718,False,True,True,True,False,False,False,False,1.0
NZDUSD,60,7,62,6,54,3,25,3649.3162000001157,60.82,0.47,0.87,0.494589377519888,5.887114508961009,14.683297076234807,False,True,False,False,False,True,False,False,1.0
NZDUSD,60,252,87,219,92,87,31,3348.4054999999844,10.77,0.38,0.92,0.39983852283702664,9.096463319698225,17.26638267705794,False,False,True,False,False,True,True,True,1.0
NZDUSD,60,252,87,219,92,87,31,3348.4054999999844,10.77,0.38,0.92,0.39983852283702664,9.096463319698225,17.26638267705794,False,False,True,True,False,True,True,True,1.0
NZDUSD,60,252,87,219,92,87,31,3348.4054999999844,10.77,0.38,0.92,0.39983852283702664,9.096463319698225,17.26638267705794,False,False,False,True,False,True,True,True,1.0
NZDUSD,60,7,62,7,54,3,25,3251.6916000001293,53.31,0.46,0.88,0.466475205857417,5.887283692667779,14.683286526802199,False,True,False,False,False,False,False,False,1.0
NZDUSD,60,133,80,107,61,47,19,2751.729000000022,16.38,0.39,0.79,0.2951264215189638,9.619673459543769,17.415324761863726,True,True,True,True,False,False,True,False,1.0
NZDUSD,60,133,80,107,61,47,19,2751.729000000022,16.38,0.39,0.79,0.2951264215189638,9.619673459543769,17.415324761863726,True,True,True,False,False,False,True,False,1.0
NZDUSD,60,133,80,107,61,47,19,2751.729000000022,16.38,0.39,0.79,0.2951264215189638,9.619673459543769,17.415324761863726,True,True,False,True,False,False,True,False,1.0
NZDUSD,60,133,80,106,61,48,19,2641.9742000000388,15.82,0.4,0.78,0.2849917321710422,9.619727121224246,17.41617777496642,True,True,False,True,False,True,True,False,1.0
NZDUSD,60,133,80,106,61,48,19,2641.9742000000388,15.82,0.4,0.78,0.2849917321710422,9.619727121224246,17.41617777496642,True,True,True,False,False,True,True,False,1.0
NZDUSD,60,133,80,106,61,48,19,2641.9742000000388,15.82,0.4,0.78,0.2849917321710422,9.619727121224246,17.41617777496642,True,True,True,True,False,True,True,False,1.0
NZDUSD,60,252,87,244,102,93,30,2491.5563000000175,7.2,0.36,1.02,0.271985072406143,10.391527397310817,19.831417316368587,False,False,False,False,False,True,True,True,1.0
NZDUSD,60,133,80,118,76,45,30,2479.1766000000184,12.78,0.39,0.91,0.42658860286369266,3.1451737447300716,10.42356697398347,True,True,False,True,False,True,True,True,1.0
NZDUSD,60,133,80,118,76,45,30,2479.1766000000184,12.78,0.39,0.91,0.42658860286369266,3.1451737447300716,10.42356697398347,True,True,True,True,False,True,True,True,1.0
NZDUSD,60,133,80,118,76,45,30,2479.1766000000184,12.78,0.39,0.91,0.42658860286369266,3.1451737447300716,10.42356697398347,True,True,True,False,False,True,True,True,1.0
NZDUSD,60,252,87,142,60,64,24,2475.7163000000737,12.26,0.44,0.6,0.33336752211347115,5.680929169514577,16.688838504198348,False,False,True,False,True,True,True,True,1.0
NZDUSD,60,252,87,142,60,64,24,2475.7163000000737,12.26,0.44,0.6,0.33336752211347115,5.680929169514577,16.688838504198348,False,False,False,True,True,True,True,True,1.0
