INSTRUMENT,TIMEFRAME,POSSIBLE_BUY_TRADES,POSSIBLE_SELL_TRADES,TOTAL_BUY_TRADES,TOTAL_SELL_TRADES,PROFITABLE_BUY_TRADES,PROFITABLE_SELL_TRADES,TOTAL_PROFIT,AVG_PROFIT,PERC_PROFITABLE,PERC_TRADES_TAKEN,SHARPE_RATIO,DRAWDOWN,MAX_DRAWDOWN,CCI,CCII,ADX_SIMPLE,ADX_LOOKBACK,RSI_RANGE,CLOSE_ON_CONFLICT,TRAILING_STOP,1ATR_STOP,FIB_TP
USDCAD,60,1,276,0,129,0,56,1898.4469999997075,14.72,0.43,0.47,0.18603134487118622,17.3272358913386,35.47139668462555,False,True,False,False,True,True,True,False,1.0
USDCAD,60,1,276,0,129,0,56,1898.4469999997075,14.72,0.43,0.47,0.18603134487118622,17.3272358913386,35.47139668462555,False,True,False,False,True,False,True,False,1.0
USDCAD,60,1,276,0,128,0,55,1258.551899999677,9.83,0.43,0.46,0.11515556645159691,17.327000726558786,35.47282353040167,False,True,False,True,True,False,True,False,1.0
USDCAD,60,1,276,0,128,0,55,1258.551899999677,9.83,0.43,0.46,0.11515556645159691,17.327000726558786,35.47282353040167,False,True,False,True,True,True,True,False,1.0
USDCAD,60,1,276,0,128,0,55,1258.551899999677,9.83,0.43,0.46,0.11515556645159691,17.327000726558786,35.47282353040167,False,True,True,False,True,False,True,False,1.0
USDCAD,60,1,276,0,128,0,55,1258.551899999677,9.83,0.43,0.46,0.11515556645159691,17.327000726558786,35.47282353040167,False,True,True,False,True,True,True,False,1.0
USDCAD,60,1,276,0,128,0,55,1258.551899999677,9.83,0.43,0.46,0.11515556645159691,17.327000726558786,35.47282353040167,False,True,True,True,True,False,True,False,1.0
USDCAD,60,1,276,0,128,0,55,1258.551899999677,9.83,0.43,0.46,0.11515556645159691,17.327000726558786,35.47282353040167,False,True,True,True,True,True,True,False,1.0
USDCAD,60,84,281,42,129,19,53,843.3544999996652,4.93,0.42,0.47,0.06047205476569891,15.31210491289877,32.50217332548246,True,True,False,False,True,False,True,False,1.0
USDCAD,60,84,281,40,128,19,52,756.1600999997089,4.5,0.42,0.46,0.04783807049006938,15.312219578257409,30.681445905660247,True,True,True,False,True,False,True,False,1.0
USDCAD,60,84,281,40,128,19,52,756.1600999997089,4.5,0.42,0.46,0.04783807049006938,15.312219578257409,30.681445905660247,True,True,False,True,True,False,True,False,1.0
USDCAD,60,84,281,40,128,19,52,756.1600999997089,4.5,0.42,0.46,0.04783807049006938,15.312219578257409,30.681445905660247,True,True,True,True,True,False,True,False,1.0
USDCAD,60,0,7,0,2,0,2,753.0252000000086,376.51,1.0,0.29,0.028747307861022604,0.0,1.8950847724638422,True,False,False,False,True,False,False,False,1.0
USDCAD,60,0,7,0,2,0,2,753.0252000000086,376.51,1.0,0.29,0.028747307861022604,0.0,1.8950847724638422,True,False,False,False,True,True,False,False,1.0
USDCAD,60,0,7,0,3,0,3,699.4121000000231,233.14,1.0,0.43,-0.000343158446867513,0.013559653893806216,1.537422813365615,True,False,False,False,True,False,True,True,1.0
USDCAD,60,0,7,0,3,0,3,699.4121000000231,233.14,1.0,0.43,-0.000343158446867513,0.013559653893806216,1.537422813365615,True,False,False,False,True,True,True,True,1.0
USDCAD,60,0,7,0,2,0,2,654.4354999999983,327.22,1.0,0.29,-0.028423930594904084,0.0,1.911799462718539,True,False,False,False,True,False,True,False,1.0
USDCAD,60,0,7,0,2,0,2,654.4354999999983,327.22,1.0,0.29,-0.028423930594904084,0.0,1.911799462718539,True,False,False,False,True,True,True,False,1.0
USDCAD,60,0,7,0,7,0,4,460.74300000006156,65.82,0.57,1.0,-0.211997276641162,0.013559339400855413,2.313323999999775,True,False,False,False,False,True,True,True,1.0
USDCAD,60,0,7,0,7,0,4,460.74300000006156,65.82,0.57,1.0,-0.211997276641162,0.013559339400855413,2.313323999999775,True,False,False,False,False,False,True,True,1.0
USDCAD,60,0,7,0,5,0,3,436.6389999999933,87.33,0.6,0.71,-0.2462370013325791,0.0,3.078695947064959,True,False,False,False,False,False,True,False,1.0
USDCAD,60,0,7,0,5,0,3,436.6389999999933,87.33,0.6,0.71,-0.2462370013325791,0.0,3.078695947064959,True,False,False,False,False,True,True,False,1.0
USDCAD,60,0,7,0,3,0,2,375.19670000001213,125.07,0.67,0.43,-0.3534156669341919,0.0,2.8853320000000533,True,False,False,False,True,False,False,True,1.0
USDCAD,60,0,7,0,3,0,2,375.19670000001213,125.07,0.67,0.43,-0.3534156669341919,0.0,2.8853320000000533,True,False,False,False,True,True,False,True,1.0
USDCAD,60,0,7,0,1,0,1,222.5171999999955,222.52,1.0,0.14,-0.8760290747227785,0.013560378249346037,0.013560378249346037,True,False,True,True,True,False,True,True,1.0
USDCAD,60,0,7,0,1,0,1,222.5171999999955,222.52,1.0,0.14,-0.8760290747227785,0.013560378249346037,0.013560378249346037,True,False,True,False,True,True,True,True,1.0
USDCAD,60,0,7,0,1,0,1,222.5171999999955,222.52,1.0,0.14,-0.8760290747227785,0.013560378249346037,0.013560378249346037,True,False,True,True,True,True,True,True,1.0
USDCAD,60,0,7,0,1,0,1,222.5171999999955,222.52,1.0,0.14,-0.8760290747227785,0.013560378249346037,0.013560378249346037,True,False,True,False,True,False,True,True,1.0
USDCAD,60,0,7,0,1,0,1,222.5171999999955,222.52,1.0,0.14,-0.8760290747227785,0.013560378249346037,0.013560378249346037,True,False,False,True,True,True,True,True,1.0
USDCAD,60,0,7,0,1,0,1,222.5171999999955,222.52,1.0,0.14,-0.8760290747227785,0.013560378249346037,0.013560378249346037,True,False,False,True,True,False,True,True,1.0
USDCAD,60,0,7,0,5,0,2,121.90799999999531,24.38,0.4,0.71,-1.9359276727600894,2.100588217161827,6.392752537252847,True,False,False,False,False,True,False,False,1.0
USDCAD,60,0,7,0,5,0,2,121.90799999999531,24.38,0.4,0.71,-1.9359276727600894,2.100588217161827,6.392752537252847,True,False,False,False,False,False,False,False,1.0
USDCAD,60,0,7,0,1,0,1,88.5225000000151,88.52,1.0,0.14,-2.8200134884585304,0.0,0.0,True,False,True,False,True,True,False,False,1.0
USDCAD,60,0,7,0,1,0,1,88.5225000000151,88.52,1.0,0.14,-2.8200134884585304,0.0,0.0,True,False,True,False,True,False,False,False,1.0
USDCAD,60,0,7,0,1,0,1,88.5225000000151,88.52,1.0,0.14,-2.8200134884585304,0.0,0.0,True,False,False,True,True,True,False,False,1.0
USDCAD,60,0,7,0,1,0,1,88.5225000000151,88.52,1.0,0.14,-2.8200134884585304,0.0,0.0,True,False,True,True,True,True,False,False,1.0
USDCAD,60,0,7,0,1,0,1,88.5225000000151,88.52,1.0,0.14,-2.8200134884585304,0.0,0.0,True,False,True,True,True,False,False,False,1.0
USDCAD,60,0,7,0,1,0,1,88.5225000000151,88.52,1.0,0.14,-2.8200134884585304,0.0,0.0,True,False,False,True,True,False,False,False,1.0
USDCAD,60,0,7,0,1,0,1,81.39999999999104,81.4,1.0,0.14,-3.102486394115182,0.0,0.0,True,False,False,True,True,False,True,False,1.0
USDCAD,60,0,7,0,1,0,1,81.39999999999104,81.4,1.0,0.14,-3.102486394115182,0.0,0.0,True,False,True,False,True,True,True,False,1.0
USDCAD,60,0,7,0,1,0,1,81.39999999999104,81.4,1.0,0.14,-3.102486394115182,0.0,0.0,True,False,True,False,True,False,True,False,1.0
USDCAD,60,0,7,0,1,0,1,81.39999999999104,81.4,1.0,0.14,-3.102486394115182,0.0,0.0,True,False,True,True,True,True,True,False,1.0
USDCAD,60,0,7,0,1,0,1,81.39999999999104,81.4,1.0,0.14,-3.102486394115182,0.0,0.0,True,False,False,True,True,True,True,False,1.0
USDCAD,60,0,7,0,1,0,1,81.39999999999104,81.4,1.0,0.14,-3.102486394115182,0.0,0.0,True,False,True,True,True,False,True,False,1.0
USDCAD,60,0,7,0,1,0,1,60.30840000001029,60.31,1.0,0.14,-4.330292332810052,0.0,0.0,True,False,True,False,True,False,False,True,1.0
USDCAD,60,0,7,0,1,0,1,60.30840000001029,60.31,1.0,0.14,-4.330292332810052,0.0,0.0,True,False,False,True,True,True,False,True,1.0
USDCAD,60,0,7,0,1,0,1,60.30840000001029,60.31,1.0,0.14,-4.330292332810052,0.0,0.0,True,False,True,False,True,True,False,True,1.0
USDCAD,60,0,7,0,1,0,1,60.30840000001029,60.31,1.0,0.14,-4.330292332810052,0.0,0.0,True,False,True,True,True,False,False,True,1.0
USDCAD,60,0,7,0,1,0,1,60.30840000001029,60.31,1.0,0.14,-4.330292332810052,0.0,0.0,True,False,True,True,True,True,False,True,1.0
USDCAD,60,0,7,0,1,0,1,60.30840000001029,60.31,1.0,0.14,-4.330292332810052,0.0,0.0,True,False,False,True,True,False,False,True,1.0
USDCAD,60,189,281,89,124,42,50,33.02649999978303,0.16,0.43,0.45,-0.025722823527871135,17.555382454912447,39.24383587390061,False,False,False,True,True,False,True,False,1.0
USDCAD,60,189,281,89,124,42,50,33.02649999978303,0.16,0.43,0.45,-0.025722823527871135,17.555382454912447,39.24383587390061,False,False,True,False,True,False,True,False,1.0
USDCAD,60,189,281,89,124,42,50,33.02649999978303,0.16,0.43,0.45,-0.025722823527871135,17.555382454912447,39.24383587390061,False,False,True,True,True,False,True,False,1.0
