INSTRUMENT,TIMEFRAME,POSSIBLE_BUY_TRADES,POSSIBLE_SELL_TRADES,TOTAL_BUY_TRADES,TOTAL_SELL_TRADES,PROFITABLE_BUY_TRADES,PROFITABLE_SELL_TRADES,TOTAL_PROFIT,AVG_PROFIT,PERC_PROFITABLE,PERC_TRADES_TAKEN,SHARPE_RATIO,DRAWDOWN,MAX_DRAWDOWN,CCI,CCII,ADX_SIMPLE,ADX_LOOKBACK,RSI_RANGE,CLOSE_ON_CONFLICT,TRAILING_STOP,1ATR_STOP,FIB_TP
USDCHF,60,6,256,5,178,1,74,7725.299200000058,42.21,0.41,0.7,0.9596860800778345,5.941999674036805,27.725600112632943,False,True,True,False,False,False,False,False,1.0
USDCHF,60,6,256,5,178,1,74,7725.299200000058,42.21,0.41,0.7,0.9596860800778345,5.941999674036805,27.725600112632943,False,True,False,True,False,False,False,False,1.0
USDCHF,60,6,256,5,178,1,74,7725.299200000058,42.21,0.41,0.7,0.9596860800778345,5.941999674036805,27.725600112632943,False,True,True,False,False,True,False,False,1.0
USDCHF,60,6,256,5,178,1,74,7725.299200000058,42.21,0.41,0.7,0.9596860800778345,5.941999674036805,27.725600112632943,False,True,True,True,False,True,False,False,1.0
USDCHF,60,6,256,5,178,1,74,7725.299200000058,42.21,0.41,0.7,0.9596860800778345,5.941999674036805,27.725600112632943,False,True,False,True,False,True,False,False,1.0
USDCHF,60,6,256,5,178,1,74,7725.299200000058,42.21,0.41,0.7,0.9596860800778345,5.941999674036805,27.725600112632943,False,True,True,True,False,False,False,False,1.0
USDCHF,60,6,256,4,130,1,62,6156.535299999918,45.94,0.47,0.51,0.4927427002957239,2.8758146061724004,30.571530249654696,False,True,True,False,True,False,False,False,1.0
USDCHF,60,6,256,4,130,1,62,6156.535299999918,45.94,0.47,0.51,0.4927427002957239,2.8758146061724004,30.571530249654696,False,True,False,True,True,False,False,False,1.0
USDCHF,60,6,256,4,130,1,62,6156.535299999918,45.94,0.47,0.51,0.4927427002957239,2.8758146061724004,30.571530249654696,False,True,False,True,True,True,False,False,1.0
USDCHF,60,6,256,4,130,1,62,6156.535299999918,45.94,0.47,0.51,0.4927427002957239,2.8758146061724004,30.571530249654696,False,True,True,True,True,False,False,False,1.0
USDCHF,60,6,256,4,130,1,62,6156.535299999918,45.94,0.47,0.51,0.4927427002957239,2.8758146061724004,30.571530249654696,False,True,True,True,True,True,False,False,1.0
USDCHF,60,6,256,4,130,1,62,6156.535299999918,45.94,0.47,0.51,0.4927427002957239,2.8758146061724004,30.571530249654696,False,True,True,False,True,True,False,False,1.0
USDCHF,60,6,256,4,135,1,63,5148.70519999998,37.04,0.46,0.53,0.4192184796181455,2.8758427010163623,30.571151564874956,False,True,False,False,True,True,False,False,1.0
USDCHF,60,6,256,4,135,1,63,5148.70519999998,37.04,0.46,0.53,0.4192184796181455,2.8758427010163623,30.571151564874956,False,True,False,False,True,False,False,False,1.0
USDCHF,60,162,255,134,223,45,76,4774.312100000132,13.37,0.34,0.86,0.6726576464948836,9.815964727518951,19.95587285010769,False,False,False,True,False,False,True,True,1.0
USDCHF,60,162,255,134,223,45,76,4774.312100000132,13.37,0.34,0.86,0.6726576464948836,9.815964727518951,19.95587285010769,False,False,True,False,False,False,True,True,1.0
USDCHF,60,162,255,134,223,45,76,4774.312100000132,13.37,0.34,0.86,0.6726576464948836,9.815964727518951,19.95587285010769,False,False,True,True,False,False,True,True,1.0
